"mz" "mzmin" "mzmax" "rt" "rtmin" "rtmax" "into" "intb" "maxo" "sn" "sample"
"1" 357.989653255938 357.989227294922 357.990234375 6.39589977264404 6.37873983383179 12.0496997833252 371375.975434443 368015.579778219 170212.265625 61 1
"2" 359.986637714133 359.986236572266 359.987335205078 6.18142986297607 6.12807989120483 6.19865989685059 8836.38856249496 8770.29043130186 110973.84375 57 1
"3" 588.856144880297 588.854553222656 588.857177734375 10.3253002166748 4.07449007034302 10.3402996063232 268486.305831036 268480.117144878 160126.65625 4083 1
"4" 586.852006715192 586.850280761719 586.852905273438 10.3857002258301 3.07468008995056 10.4007997512817 6885593.95463612 6885235.88400002 3438085.25 3190 1
"5" 392.902697071302 392.902221679688 392.903228759766 10.5671997070313 3.44831991195679 16.6277008056641 634683.284076666 634628.672705007 203039.8125 1207 1
"6" 490.879363059177 490.878356933594 490.880249023438 10.5368995666504 10.4916000366211 14.3456001281738 270378.570610804 270286.67999726 198758.59375 475 1
"7" 294.926266303176 294.925872802734 294.926910400391 10.7184000015259 4.1434497833252 16.7339992523193 698612.884438589 697648.794156145 196480.140625 216 1
"8" 390.898699202859 390.897857666016 390.899322509766 10.6126003265381 4.12715005874634 10.6429004669189 14116045.8769956 14073924.3204589 5686927.5 411 1
"9" 488.875281762522 488.874206542969 488.876068115234 10.5823001861572 10.5671997070313 17.0065994262695 7429166.73564099 7426006.00468142 4686226 1508 1
"10" 510.857075333797 510.855865478516 510.858551025391 11.9434003829956 4.95052003860474 18.5809993743896 421137.685578467 410860.79716469 167478.234375 46 1
"11" 526.830940763214 526.830078125 526.832397460938 12.1559000015259 12.1408004760742 18.8532009124756 395523.285598591 389667.981858118 391518.90625 60 1
"12" 292.922200391903 292.921447753906 292.922637939453 10.7334995269775 4.1434497833252 17.548999786377 32606316.6273103 31949399.9333615 7527174 107 1
"13" 256.159508410151 256.159118652344 256.159851074219 8.68997001647949 3.27177000045776 15.8678998947144 2670560.09868704 2647052.16108208 1606979.5 276 1
"14" 278.924549969268 278.924133300781 278.925109863281 18.7472991943359 11.9281997680664 18.7623996734619 289434.107784528 288461.08744542 346541.53125 181 1
"15" 274.902327960351 274.901763916016 274.903045654297 18.2205009460449 18.1907005310059 26.2483005523682 171110.706634043 169583.728969305 125661.140625 231 1
"16" 236.914292056496 236.914001464844 236.914764404297 18.6415996551514 18.6112003326416 26.112699508667 210824.521901778 209046.126204877 162357.4375 276 1
"17" 531.400062498992 531.399047851562 531.400817871094 34.2788009643555 30.2756004333496 34.2934989929199 3941415.27192404 3891466.91655358 4786603 82 1
"18" 364.356758361819 364.356079101562 364.357360839844 37.638801574707 30.1128005981445 37.6535987854004 2706719.21751682 2678788.48601727 2697076 173 1
"19" 386.325774809251 386.325286865234 386.326782226562 34.8255004882813 34.7811012268066 44.7005004882813 12933754.7618746 12772433.7065202 6465449.5 399 1
"20" 227.200745048087 227.200485229492 227.201385498047 33.0830993652344 32.9650001525879 44.418399810791 3867931.09232187 2888192.49739192 1809435.25 660 1
